,Food,Food: Vegetables & Fruits,"Food: Fish, Seafood & Preparations",Food: Meat & Meat Preparations,"Food: Coffee, Tea, Spices & Manufactures",BeveragesTobacco (BT),BT: Beverages,BT: Tobacco & Manufactures,Crude Materials (CM),CM: Metalliferous Ores & Metal Scrap,CM: Crude Rubber,CM: Crude Minerals & Fertilisers,CM: Crude Vegetable & Animal Materials,Mineral Fuels,Mineral Fuels: Petroleum & Pdt & Related Materials,Mineral Fuels: Petroleum,Mineral Fuels: Coal: Coke,Mineral Fuels: Gas,AnimalVegetable Oils (AV),AV: Animal or Vegetable Fats & Oils Nes,AV: Fixed Vegetables Fats & Oils,ChemicalsChemical Products (CH),CH: Medicinal & Pharmaceutical Products,CH: Organic Chemicals,CH: Plastics in Primary Forms,CH: Plastics in Non-primary Forms ,CH: Essential Oils & Resinoids & Perfume Materials,Manufactured Goods (MG),MG: Iron & Steels,MG: Metal Manufactures,MG: Non-ferrous Metals,MG: Non-metallic Mineral Manufactures,MG: Paper & Paperboard ,MG: Rubber Manufactures,MG: Textile Manufactures,MachineryTransport Equipment (MT),MT: Office & Automatic Data-processing Machines ,MT: Telecommunications & Reproducing Apparatus & Equip ,MT: Electrical Machinery Apparatus & Appliances Nes ,MT: Electronics Valves,MT: Parts for Office & DP Machines,MT: Communication Equipment,MT: Electrical Machinery,MT: Electrical Circuit Apparatus,Miscellaneous Manufactured Articles (MM),MM: Disc Media Products & Plastic Articles,MM: Scientific Instruments & Apparatus,"MM: Photographic Supplies, Watches & Optical Goods",MM: Articles of Apparel & Clothing Accessories ,MM: Footwear,Miscellaneous Manufactured Articles Nes,Miscellaneous Transactions Nes,(DC)MT: Data Processing Machines
Dec-09,818.169,131.253,131.305,96.122,111.79,254.2,191.679,62.521,284.335,38.94,40.331,131.458,28.062,8640.055,8253.635,8253.635,0.28,386.14,58.693,5.075,52.524,2369.117,320.809,620.849,331.997,99.539,257.981,2284.46,541.108,531.073,496.285,294.963,140.761,106.921,120.887,15418.815,2085.286,1609.36,7055.668,5589.253102,1048.926955,1433.386797,484.420835,549.610556,2445.307,856.845,706.565,355.869,244.985,53.919,856.845,1312.676,
Jan-10,764.57,132.259,125.47,80.748,96.694,199.481,149.094,50.387,260.043,26.074,43.229,121.68,30.117,9583.364,9168.416,9168.416,0.551,414.44,58.121,11.369,46.154,2042.341,259.173,676.609,274.131,96.828,214.08,1982.987,426.077,495.815,405.868,276.819,137.865,95.262,98.696,14908.517,1736.216,1329.758,7013.672,5616.011652,912.733706,1181.852067,449.72546,525.538013,2185.534,815.869,560.66,323.601,225.551,53.033,815.869,1305.12,
Feb-10,633.646,106.363,87.05,70.983,76.622,186.137,144.684,41.453,231.611,19.456,60.274,97.382,20.825,9262.432,8846.966,8846.966,0.163,415.343,47.316,3.841,41.895,2128.905,277.152,565.192,385.957,85.531,242.565,1836.161,430.437,527.962,316.462,228.784,117.655,83.453,91.985,13588.957,1705.675,1202.263,6590.272,5312.419676,883.886758,1064.991013,437.247901,465.455681,1983.563,689.033,614.207,306.841,173.814,43.286,689.033,1005.916,
Mar-10,770.026,119.15,93.05,102.002,103.351,224.29,160.789,63.501,279.946,23.862,69.556,120.225,26.976,9538.507,9184.874,9184.874,0.494,353.256,78.048,23.334,53.841,2606.451,322.182,690.715,494.204,115.598,284.845,2341.748,613.71,544.546,432.704,299.306,157.608,111.894,130.567,16858.036,2090.81,1615.807,7908.814,6233.907918,1057.383975,1434.965031,543.638578,643.602008,2568.717,930.962,822.188,379.027,180.843,52.715,930.962,1097.051,
Apr-10,755.088,120.828,98.372,90.211,100.396,240.946,186.84,54.106,270.1,35.993,56.729,89.514,28.215,11057.418,10640.91,10640.91,0.282,416.231,47.083,3.996,41.882,2570.104,305.466,689.533,464.416,114.983,260.641,2245.511,595.227,549.774,418.291,265.633,143.28,95.721,125.633,15904.779,2027.058,1408.464,7785.281,6210.335186,1079.642736,1233.744902,518.544104,601.502801,2435.299,924.809,709.411,354.4,182.717,57.136,924.809,1193.599,
May-10,709.92,124.682,103.254,82.087,80.134,254.538,181.574,72.964,256.336,25.776,60.577,95.736,25.839,8230.058,7809.962,7809.962,0.641,419.593,60.788,4.729,54.422,2388.532,317.944,615.664,419.766,110.798,258.558,2157.518,533.355,543.443,385.008,260.596,153.079,113.452,120.754,16013.899,1841.831,1425.305,8251.517,6705.689417,990.201959,1250.767181,523.469852,579.559961,2353.514,807.974,744.209,348.328,204.084,53.054,807.974,1086.396,
Jun-10,770.064,131.12,92.616,88.403,97.802,255.998,192.095,63.903,237.381,21.336,61.705,83.069,25.746,10939.786,10507.228,10507.228,0.445,432.125,60.449,3.745,55.09,2521.953,229.693,602.277,489.937,125.542,279.509,2403.639,752.979,545.93,374.139,262.803,162.658,116.195,128.71,16855.612,2036.523,1501.312,8540.464,6938.562431,1041.538082,1308.761681,545.935684,581.368833,2560.613,895.713,769.051,394.587,229.172,55.983,895.713,1069.022,
Jul-10,826.558,135.379,110.294,92.289,107.658,275.817,206.224,69.593,246.43,38.32,60.974,79.39,26.396,10192.885,9813.399,9813.399,0.508,378.979,90.062,2.77,85.949,2452.237,272.502,599.99,461.103,129.843,268.915,2386.556,657.981,531.324,399.52,316.599,168.922,114.946,139.094,18243.199,2306.079,1514.488,9002.341,7315.9318,1126.783784,1330.5322,586.530536,634.129128,2612.586,959.05,705.622,408.605,260.855,59.368,959.05,1180.099,
Aug-10,809.837,132.68,107.901,92.444,108.254,285.715,225.177,60.538,225.426,37.215,56.79,62.865,24.162,9091.328,8700.217,8700.217,0.446,390.71,57.408,3.039,53.432,2511.732,288.245,725.827,382.973,121.791,280.522,2214.092,559.79,530.524,418.455,256,162.909,113.306,120.537,17464.305,2054.672,1580.673,9306.912,7674.150732,1094.027785,1404.638143,561.440583,582.076297,2498.014,856.6,745.972,371.992,250.434,58.357,856.6,1050.736,
Sep-10,797.599,118.43,106.229,89.928,92.607,256.216,196.067,60.149,222.578,43.782,49.899,60.27,30.778,9733.621,9342.266,9342.266,0.66,390.716,54.573,2.77,50.203,2350.739,275.924,612.74,379.319,116.804,258.654,2157.995,570.201,510.562,411.62,257.153,136.988,113.542,107.281,16599.263,1978.142,1511.204,8742.999,7205.94817,1010.407958,1342.001451,540.845742,539.352527,2555.273,928.004,764.427,375.464,234.595,51.497,928.004,834.769,
Oct-10,743.482,118.356,107.537,82.627,99.33,273.722,213.787,59.935,218.114,33.369,53.797,67.1,26.719,9260.379,8881.618,8881.618,0.534,378.301,73.414,3.19,69.631,2405.769,230.554,560.249,659.559,111.505,251.972,2124.312,497.266,493.575,466.9,240.974,136.623,114.751,119.21,16981.873,1928.984,1517.263,8490.42,6989.132875,1039.863714,1331.134206,522.582641,532.285097,2597.164,982.449,722.734,378.812,225.854,60.08,982.449,996.067,
Nov-10,820.172,134.959,117.339,95.82,101.749,275.001,214.593,60.408,272.227,69.635,51.827,74.609,30.751,9450.715,9067.867,9067.867,0.481,382.381,97.659,3.103,93.287,2217.275,231.436,546.48,449.207,106.615,265.504,2228.395,562.165,521.067,462.158,269.051,137.037,107.169,117.237,16331.558,2030.535,1581.353,7598.733,6108.211657,1148.715642,1399.935622,509.342359,540.487072,2617.449,954.967,706.5,419.552,228.855,57.825,954.967,1485.157,
Dec-10,889.328,148.926,145.956,105.607,108.724,339.967,262.43,77.537,283.723,65.118,62.79,79.168,30.571,9251.098,8852.589,8852.589,0.384,398.246,117.93,2.887,113.995,2433.046,243.572,718.502,415.242,116.13,289.351,2378.662,587.658,544.207,499.375,289.808,159.162,117.666,124.044,16355.566,2113.912,1673.803,7761.094,6118.145494,1051.39032,1485.989889,613.225392,548.323534,2715.88,982.318,744.671,389.734,272.983,65.427,982.318,1349.694,
Jan-11,868.422,152.893,132.01,99.324,121.857,261.5,193.472,68.028,297.095,67.456,81.831,74.638,35.774,11582.868,11156.601,11156.601,0.403,425.865,100.203,3.135,95.936,2441.188,236.966,767.391,421.081,105.575,255.405,2332.684,651.14,495.015,478.308,273.793,158.688,112.514,113.421,14826.549,1814.906,1582.745,7509.457,6026.838794,878.271426,1408.644183,518.370952,500.751017,2546.607,942.999,648.751,393.916,260.831,65.059,942.999,2326.71,
Feb-11,607.245,102.78,69.78,72.301,77.939,208.539,159.4,49.139,243.247,57.232,61.479,70.484,19.499,9946.357,9500.048,9500.048,0.057,446.253,103.281,2.918,91.506,2140.232,255.641,571.209,424.363,92.926,222.852,1996.584,538.097,412.935,448.644,233.899,152.638,90.114,88.308,13413.79,1618.451,1496.377,6775.387,5502.676655,848.896381,1360.932467,456.305782,442.344791,2006.57,678.626,621.641,342.136,172.15,41.451,678.626,1460.795,
Mar-11,848.894,143.957,105.919,105.984,113.562,296.351,229.483,66.868,345.177,74.205,112.667,81.043,30.982,15294.825,14855.86,14855.86,0.8,438.182,108.467,3.984,90.077,3054.032,369.24,850.391,635.929,129.671,313.045,2763.564,726.719,525.514,713.397,281.149,207.422,128.941,126.488,16363.813,1926.203,1673.437,7961.293,6322.449996,929.273973,1493.4507,551.603043,607.773532,2590.904,959.86,752.453,380.254,215.185,63.984,959.86,1394.734,
Apr-11,856.189,134.146,107.282,100.604,135.885,335.637,262.798,72.839,290.569,50.358,88.348,79.676,30.188,12784.774,12245.497,12245.497,0.513,538.81,106.36,4.614,92.683,2823.665,261.958,767.886,585.879,130.982,305.156,2979.679,857.39,514.449,761.263,346.602,189.6,122.204,130.664,14861.586,1712.694,1412.271,7306.394,5752.795918,837.351672,1259.758441,537.473464,541.185184,2474.441,886.496,705.576,386.023,211.225,55.958,886.496,1005.706,
May-11,813.842,132.21,112.463,99.289,91.714,262.562,196.427,66.135,294.867,57.17,81.042,82.211,30.578,13293.668,12764.268,12764.268,0.482,528.992,118.231,3.23,88.97,2745.834,323.699,779.397,478.002,133.063,301.667,2739.964,713.693,515.922,698.084,281.199,207.364,123.992,127.204,15947.679,1736.632,1575.448,7446.964,5843.435475,901.992174,1435.935014,524.171342,571.43898,2517.449,924.212,689.453,386.234,220.771,58.269,924.212,1022.49,
Jun-11,862.424,135.121,113.316,106.126,104.75,320.021,246.639,73.381,314.111,64.315,78.037,90.656,32.186,12367.805,11851.007,11851.007,0.783,516.028,142.742,2.966,107.304,2674.462,273.118,737.798,424.68,128.413,290.987,2605.041,725.785,535.217,541.005,306.057,192.867,125.9,121.824,16270.976,1800.362,1501.131,7567.158,5929.47301,864.791231,1357.591514,553.990809,564.751892,2651.364,986.405,708.393,394.599,261.3,58.752,986.405,976.56,
Jul-11,888.168,145.3,122.672,103.285,108.981,322.397,253.031,69.366,315.671,76.178,71.302,89.162,33.795,10792.893,10273.707,10273.707,1.053,518.147,88.978,3.172,72.852,2631.075,296.967,734.732,451.527,117.248,284.451,2689.495,732.85,536.285,558.269,337.885,217.079,126.287,123.027,15479.07,1798.27,1475.646,7147.869,5512.055949,822.762579,1316.562083,528.062962,600.834685,2715.475,949.264,711.628,459.899,290.797,60.974,949.264,1341.22,
Aug-11,905.896,144.947,128.442,95.071,125.987,367.901,294.724,73.177,322.331,80.111,75.79,85.005,35.143,15677.695,15159.282,15159.282,0.416,518.158,151.638,3.711,127.893,2738.573,280.813,776.551,504.739,126.693,305.378,2516.89,728.305,549.113,438.877,301.263,200.285,127.174,120.678,15898.367,1923.394,1607.868,7224.476,5673.789435,953.197199,1444.880567,519.539781,533.345687,2516.359,821.63,696.662,408.462,272.339,61.795,821.63,1113.378,
Sep-11,798.763,128.731,124.834,88.68,104.375,292.167,226.607,65.56,302.199,62.766,61.958,93.607,39.817,11410.058,10864.135,10864.135,0.559,545.5,166.406,2.676,136.167,2595.949,318.42,676.941,527.835,120,272.024,2381.213,618.33,570.567,398.165,310.344,198.603,123.844,115.598,16493.108,1841.265,1505.347,7457.62,5859.575387,895.987286,1344.933938,526.546193,548.619053,2575.68,888.049,729.097,437.715,234.104,60.432,888.049,1895.883,
Oct-11,872.233,132.424,127.268,87.229,139.513,330.804,262.561,68.243,302.5,40.16,72.013,106.174,36.037,13107.603,12566.753,12566.753,0.288,540.697,155.608,2.991,138.379,2657.826,344.491,596.339,642.507,120.492,300.586,2545.986,706.789,556.266,508.567,290.305,190.13,129.265,117.038,15275.019,1744,1490.178,7014.93,5417.962888,746.952134,1331.839667,489.821014,525.431145,2560.255,912.951,693.112,421.445,234.52,67.551,912.951,1784.081,
Nov-11,971.438,148.041,137.205,96.178,153.858,321.461,249.791,71.67,342.398,80.444,70.148,97.456,32.283,13544.962,12995.243,12995.243,0.544,549.298,75.223,2.351,68.252,2630.855,264.121,626.039,645.955,109.958,307.235,2824.464,892.793,567.777,514.11,341.338,194.492,126.069,126.894,17337.055,1898.791,1803.731,8043.916,6506.385932,998.244186,1646.955093,551.580437,534.726935,2835.119,971.755,816.466,444.845,260.559,61.527,971.755,985.666,
Dec-11,1002.181,165.065,153.892,126.676,131.85,359.327,274.081,85.247,355.864,94.445,47.79,120.132,38.297,10142.046,9564.834,9564.834,0.358,576.875,164.078,5.533,132.877,2747.617,300.151,638.803,717.089,116.767,319.973,2619.992,747.972,541.749,476.735,301.024,194.517,150.788,135.362,16101.067,2011.662,1536.198,7310.469,5749.050521,976.189516,1401.345165,531.920806,523.642815,2871.014,925.537,791.956,501.07,301.02,69.334,925.537,1846.875,
Jan-12,808.547,146.621,112.291,101.266,109.45,274.032,203.072,70.96,283.881,58.815,64.931,83.498,30.439,14266.241,13665.088,13665.088,0.747,600.433,170.721,2.982,159.181,2484.98,247.601,613.122,648.446,98.168,252.372,2204.955,598.816,534.612,374.906,250.814,176.115,114.755,106.223,15952.142,1630.492,1355.987,6726.088,5323.440535,772.926877,1221.943753,460.262989,481.357046,2333.069,784.034,659.773,344.918,250.832,63.424,784.034,1487.419,
Feb-12,755.069,121.853,88.084,99.842,93.091,273.968,208.395,65.572,345.606,69.02,94.147,92.434,26.71,14355.168,13758.504,13758.504,0.886,595.817,162.922,3.062,152.847,2558.994,272.513,630.682,604.351,109.125,270.271,2209.561,571.651,462.823,469.976,263.85,190.758,117.111,91.653,15796.813,1686.307,1640.485,7104.043,5691.761699,835.938515,1492.546372,479.917902,518.580076,2643.204,1118.449,703.259,351.746,196.177,54.573,1118.449,1116.824,
Mar-12,885.844,137.109,105.611,104.248,144.689,312.481,238.144,74.337,389.018,93.14,82.502,105.937,29.787,14275.8,13700.08,13700.08,0.879,574.849,159.297,3.298,154.207,2750.194,291.491,694.137,570.798,126.389,317.15,2700.803,693.357,570.158,573.004,324.299,205.901,163.405,117.389,17747.252,2098.614,1466.274,8116.867,6482.588319,977.310561,1306.03625,556.726675,572.274746,2734.598,981.055,815.594,386.055,225.674,61.742,981.055,1743.396,
Apr-12,791.508,134.374,95.696,96.075,113.369,310.854,237.335,73.518,310.6,73.043,66.026,88.085,30.902,12821.79,12170.117,12170.117,0.712,651.068,110.021,4.188,74.156,2884.823,310.195,796.003,629.721,124.009,305.892,2626.164,812.735,549.139,467.771,329.608,168.013,120.83,121.213,15429.273,1836.379,1401.963,7024.311,5466.383681,843.156647,1272.812343,543.023568,544.230658,2744.487,1005.902,788.356,397.851,227.576,64.707,1005.902,1657.125,
May-12,852.887,151.929,115.327,101.726,110.531,316.455,243.95,72.505,329.144,65.05,66.339,87.122,41.083,14482.418,13852.924,13852.924,0.605,629.223,164.197,4.742,128.365,2869.742,284.852,830.223,608.43,135.182,295.845,2614.278,695.677,566.144,505.118,314.879,213.31,120.279,133.391,16657.221,1841.89,1596.545,7527.019,5887.664061,885.78807,1453.563663,534.323983,592.037258,2752.329,993.865,774.117,383.793,246.681,68.32,993.865,1771.248,
Jun-12,845.31,144.712,101.52,100.551,99.888,304.135,210.49,93.646,352.691,98.423,63.267,93.455,31.817,13160.573,12549.567,12549.567,0.924,610.139,175.101,4.849,131.985,2773.752,303.233,731.221,566.067,123.841,303.091,2759.44,789.253,568.037,545.35,340.965,199.595,123.746,125.927,17360.062,1965.744,1442.443,8670.467,6989.19478,843.790139,1291.210946,533.24414,638.947316,2804.195,983.665,869.466,379.471,261.249,65.96,983.665,1105.705,
Jul-12,874.724,154.837,112.528,103.226,92.383,355.835,280.901,74.934,329.768,85.204,54.598,99.63,31.555,10852.114,10327.09,10327.09,0.739,524.327,135.862,4.547,123.054,2829.04,296.937,741.935,613.682,147.525,307.338,2745.313,788.589,626.282,438.238,375.524,197.677,121.958,135.211,16941.462,1744.357,1503.517,7809.798,6139.308563,785.373933,1359.950312,557.304179,586.075925,3047.22,1124.163,856.998,444.723,284.039,67.14,1124.163,879.403,
Aug-12,873.957,153.804,112.408,99.782,97.898,394.281,300.1,94.181,296.612,67.037,50.215,91.273,32.501,11527.545,10821.577,10821.577,0.608,705.529,138.108,4.754,106.366,2793.001,311.154,757.177,550.074,123.446,299.472,2499.232,731.77,538.81,384.059,314.931,209.532,145.708,113.693,16283.857,1748.235,1424.375,7411.068,5790.076716,817.977674,1293.338712,527.081934,581.279422,2880.068,1093.662,849.368,339.9,260.038,58.572,1093.662,942.452,
Sep-12,750.718,133.841,94.448,81.3,105.878,315.059,247.403,67.656,287.253,73.667,42.656,87.523,32.18,11807.492,11126.138,11126.138,0.68,680.831,132.849,4.377,107.261,2551.659,250.521,642.403,490.268,111.671,276.291,2206.276,611.583,510.525,322.544,305.367,191.156,108.535,107.756,15444.8,1754.179,1522.232,7595.345,6130.630737,817.749959,1385.125929,471.294967,523.84884,3243.747,1547.168,790.507,362.973,249.979,60.907,1547.168,1135.859,
Oct-12,872.422,145.734,114.05,104.074,111.99,434.018,352.322,81.696,355.359,83.892,54.396,105.362,36.539,13497.007,12831.562,12831.562,1.633,663.844,145.982,3.857,108.286,2758.181,276.442,728.022,546.227,112.331,299.491,2545.218,650.886,569.453,504.426,349.883,189.647,110.64,111.185,16164.917,1676.468,1587.191,7433.724,5916.838906,721.906931,1448.712868,466.368502,564.812363,2989.288,1180.547,838.297,405.558,252.844,64.942,1180.547,1269.361,
Nov-12,869.196,149.018,125.001,114.263,108.197,347.7,266.05,81.65,288.161,65.298,33.818,91.208,34.165,13288.742,12538.735,12538.735,1.846,748.336,146.074,3.987,101.379,2571.853,237.654,785.893,505.736,115.227,281.713,2294.467,629.233,532.593,355.868,316.982,172.097,119.452,115.015,16419.413,1686.555,1681.984,8162.716,6666.71392,736.42167,1542.351135,499.319709,519.688901,2947.425,1054.536,841.525,425.791,256.98,67.117,1054.536,908.127,
Dec-12,855.413,149.645,139.169,109.26,95.152,376.586,282.388,94.198,313.236,73.511,43.862,88.343,40.275,10468.069,9800.633,9800.633,0.928,666.524,101.546,3.276,69.734,2575.124,180.771,841.105,531.943,108.295,293.729,2236.417,589.494,525.363,366.629,312.663,165.088,108.044,111.949,16090.859,1756.095,1665.901,8084.491,6645.955478,710.612069,1545.071234,443.365169,518.923928,2814.999,966.01,860.423,392.554,273.675,66.758,966.01,1427.573,
Jan-13,927.203,184.207,123.466,105.075,100.43,410.439,322.604,87.835,342.476,54.274,63.176,128.282,37.999,13396.833,12782.111,12782.111,1.974,612.892,74.103,3.503,68.788,2609.048,335.829,741.345,454.776,114.336,300.437,2435.48,685.009,558.224,385.615,334.348,195.309,99.577,115.271,15864.86,1625.528,1709.245,7475.06,6043.404394,664.246609,1575.629141,457.19898,523.252114,2916.083,1117,807.714,345.78,291.182,77.048,1117,1587.125,
Feb-13,678.843,121.036,71.892,78.697,79.664,244.898,179.41,65.488,288.897,57.104,41.058,103.713,23.899,11479.728,10848.103,10848.103,3.628,628.449,80.086,2.914,64.404,2276.845,290.621,631.301,376.746,94.41,273.802,2014.88,655.146,467.947,304.757,229.433,149.493,85.209,80.708,13967.976,1405.511,1303.306,6796.954,5588.033939,568.091543,1196.843581,405.756886,441.01572,2285.463,796.351,706.582,316.951,226.392,50.515,796.351,2036.995,
Mar-13,821.626,147.689,91.203,89.855,89.333,344.473,253.942,90.531,346.864,67.867,52.631,104.872,32.048,10390.524,9702.028,9702.028,2.488,686.04,124.507,3.532,59.806,2689.34,279.067,858.194,413.973,119.007,342.649,2495.477,695.314,532.444,461.281,348.747,190.07,106.606,109.147,16219.781,1763.534,1461.755,8277.954,6785.208293,693.579044,1337.934636,482.602347,542.324452,2859.331,1083.22,888.254,364.885,230.461,61.533,1083.22,1796.903,
Apr-13,905.804,153.774,93.056,94.073,127.629,394.027,306.622,87.406,323.203,54.278,42.74,108.014,37.493,12597.885,11911.521,11911.521,2.651,683.869,117.523,4.484,80.131,2816.492,316.828,798.993,473.31,147.635,353.817,2635.063,792.562,545.161,475.621,340.925,193.294,109.577,115.429,16413.189,1718.326,1351.338,8033.047,6427.17933,659.509886,1223.804759,517.159709,575.645445,2818.356,973.266,882.256,402.837,243.5,73.22,973.266,3036.637,
May-13,887.312,162.707,97.006,104.337,96.226,377.529,303.816,73.713,344.207,63.756,54.877,112.434,40.151,12448.083,11693.741,11693.741,4.611,749.871,145.797,3.771,83.212,2695.092,273.8,744.048,478.839,135.807,331.779,2579.473,766.408,591.867,427.404,314.196,186.784,116.306,118.173,16885.778,1573.862,1573.346,8747.586,7194.042569,650.089164,1459.032972,481.399233,576.102971,2763.367,975.462,830.985,392.091,245.742,70.264,975.462,2857.331,
Jun-13,837.001,147.888,100.088,103.565,77.226,294.44,215.975,78.465,319.067,67.053,35.505,113.082,41.261,11291.474,10602.443,10602.443,2.978,686.577,117.193,3.366,69.133,2550.808,304.263,733.957,432.436,123.582,308.434,2294.715,623.343,538.987,356.522,319.461,176.107,108.57,114.028,16081.861,1560.624,1376.175,8520.769,6995.144762,600.211177,1260.670551,499.792,552.989095,2891.21,1040.577,870.23,383.477,274.282,67.816,1040.577,2562.734,
Jul-13,969.292,173.475,108.8,107.473,115.845,482.507,395.768,86.739,372.957,83.32,43.033,138.632,38.313,12810.785,12085.039,12085.039,3.864,722.016,137.786,3.898,86.905,3019.742,265.909,1003.974,553.037,153.025,347.98,2712.982,734.971,634.827,402.542,408.659,207.745,116.923,140.262,16555.547,1683.981,1378.066,8136.461,6469.849592,683.195638,1242.556735,517.317622,621.028414,3255.684,1148.022,972.415,424.084,320.973,84.442,1148.022,3328.34,
Aug-13,903.167,159.813,115.209,104.954,101.577,392.189,308.791,83.398,338.337,72.663,37.325,132.442,38.673,12463.306,11720.302,11720.302,4.379,738.642,110.602,3.21,44.167,2829.383,258.956,882.91,533.513,130.622,339.417,2422.621,654.466,563.352,438.596,295.033,176.369,107.893,124.651,16416.138,1569.877,1335.184,8529.967,6939.405483,653.842775,1213.829417,507.588176,600.382227,2910.581,1014.21,945.137,334.546,270.852,71.275,1014.21,1690.936,
Sep-13,833.019,140.978,111.302,97.76,109.621,385.536,302.54,82.996,326.422,51.198,41.342,135.061,39.591,12857.308,12185.125,12185.125,4.907,667.485,141.203,3.383,101.058,2589.804,232.909,740.822,511.942,125.41,324.844,2268.728,600.74,553.747,343.934,329.199,166.806,103.956,113.299,17705.933,1658.333,1289.337,8992.77,7363.071857,712.935829,1171.95417,517.27353,614.350767,3103.809,1208.756,946.047,377.041,239.699,68.736,1208.756,1404.816,
Oct-13,952.048,155.452,129.544,115.918,123.292,442.294,345.762,96.532,589.254,58.207,39.089,349.623,61.554,13532.079,12842.896,12842.896,2.624,686.603,127.878,3.814,61.244,2860.899,308.669,835.462,517.502,156.652,327.401,2513.242,655.453,564.117,317.062,486.641,190.691,112.013,122.384,17011.881,1555.935,1384.46,8827.801,7250.91877,709.17708,1261.316473,473.310131,599.587917,3673.006,1665.616,934.97,432.2,271.981,77.735,1665.616,3168.787,
Nov-13,901.991,154.955,129.412,113.187,104.66,355.667,264.895,90.772,288.079,49.264,40.675,99.225,34.169,12400.263,11712.156,11712.156,1.491,686.747,123.439,3.396,70.8,2340.554,208.958,665.904,399.498,112.812,294.067,2365.781,553.345,589.563,406.584,381.329,164.754,93.776,111.341,15745.147,1604.752,1490.729,7887.711,6414.889745,683.034776,1363.316395,458.515649,578.824724,3466.875,1066.633,873.344,402.546,739.642,79.197,1066.633,993.86,
Dec-13,973.423,172.429,146.947,118.397,122.73,366.357,275.653,90.704,324.136,79.889,26.4,99.93,49.175,10610.33,9980.342,9980.342,5.512,624.514,125.229,4.16,87.749,2607.596,187.868,724.581,563.429,127.736,313.606,2512.692,526.814,585.226,502.951,438.389,171.988,101.06,121.472,16578.002,1768.402,1451.649,8244.526,6742.983142,706.935492,1322.680543,436.483727,596.308873,3022.638,1080.135,878.443,396.011,294.404,76.931,1080.135,1566.083,
Jan-14,958.872,181.263,133.788,101.286,124.233,373.295,270.535,102.76,279.144,47.187,36.975,95.341,35.776,13176.547,12441.225,12441.225,3.648,731.835,122.384,3.628,77.01,2729.485,218.43,805.656,561.336,116.354,296.711,2474.876,613.259,559.31,407.232,455.042,173.163,99.464,109.309,15600.437,1568.494,1285.974,8067.487,6565.754529,684.829253,1157.867649,465.01612,580.139151,2811.998,936.016,844.759,350.957,323.291,83.442,936.016,2616.128,
Feb-14,776.384,130.35,79.197,82.686,108.704,266.704,195.051,71.653,291.318,52.185,34.005,114.605,30.083,12781.138,12069.574,12069.574,6.982,704.767,123.723,5.696,70.376,2589.664,290.846,781.833,470.677,102.539,299.802,2406.544,611.954,501.133,494.102,418.331,151.287,91.716,88.596,13793.717,1370.649,1097.602,7145.981,5806.865633,571.575314,978.746786,418.384144,534.488693,2466.901,777.208,831.178,342.381,250.6,54.031,777.208,1717.732,
Mar-14,899.841,154.753,99.688,102.191,127.16,363.297,276.538,86.759,368.238,65.174,38.659,130.892,41.858,13401.172,12740.026,12740.026,3.93,657.256,115.535,7.468,68.783,2952.597,318.329,889.955,537.805,126.098,362.041,2839.035,622.261,600.241,604.431,530.705,184.498,111.638,115.488,17680.031,1708.106,1329.723,9073.619,7436.42919,700.234436,1190.106122,503.716963,628.314515,3293.91,1300.087,979.907,401.572,257.015,73.531,1300.087,1900.052,
Apr-14,966.118,163.01,100.928,116.647,146.419,393.877,314.266,79.612,341.547,62.288,34.466,140.904,35.251,12611.778,11837.289,11837.289,5.668,769.011,155.48,6.048,75.624,3045.686,276.084,922.647,614.344,146.803,360.957,2830.657,658.332,629.016,519.055,536.111,177.7,114.325,128.741,17841.804,1658.238,1378.098,9272.105,7512.331065,766.111656,1237.932378,570.186549,667.598255,3045.474,1027.763,981.698,420.78,254.531,89.239,1027.763,1566.674,
May-14,963.588,172.234,100.364,119.316,131.563,338.852,263.662,75.19,308.797,57.718,26.688,113.297,37.571,14272.009,13618.76,13618.76,4.297,649.046,137.757,6.548,86.025,2753.893,291.178,807.136,481.922,129.466,328.012,2625.85,606.286,651.501,530.562,370.88,177.267,102.069,120.783,15810.942,1491.293,1251.106,8489.424,6986.23227,622.531001,1123.764104,449.853917,557.049761,2774.336,939.635,845.646,393.78,249.115,81.936,939.635,1843.239,
Jun-14,912.998,168.841,101.61,115.225,116.406,341.236,259.134,82.103,306.222,66.792,27.563,110.431,39.547,11501.13,10744.439,10744.439,6.473,750.603,136.115,7.872,78.295,2602.992,248.751,751.015,486.733,130.623,336.384,2631.42,585.703,554.187,594.561,454.428,173.476,97.288,115.5,15812.096,1478.749,1244.383,8531.143,7029.66658,594.563344,1106.815652,484.646414,583.314997,2874.895,1019.497,853.045,373.734,277.34,75.669,1019.497,1097.452,
Jul-14,1026.85,189.907,112.476,122.367,126.601,405.435,321.156,84.279,299.418,48.545,25.265,105.735,45.402,12931.584,12168.376,12168.376,6.829,756.425,126.972,4.51,61.934,2782.719,263.271,828.968,544.661,138.241,335.495,2691.783,659.275,588.219,498.577,467.307,181.774,111.349,119.712,15854.484,1447.817,1161.556,8259.01,6662.774366,584.157372,1036.980291,505.100317,557.98724,2875.808,970.309,851.273,397.914,283.724,94.509,970.309,1814.048,
